LBRRY_CD,LBRRY_NM,LBRRY_LA,LBRRY_LO,OPNNG_TIME,CLOSEDON_DC
28701,구리시 토평도서관,37.5860642,127.1457728,"자료실 : 평일 09:00~22:00, 주말 09:00~17:00 / 열람실 : 평일 08:00~23:00, 주말 08:00~22:00","매월 첫째주, 셋째주 월요일 / 신정, 설·추석 당일 전체 휴관 / 법정공휴일 자료실 휴관(열람실 09:00~18:00 운영)"
28702,구리시 교문방정환도서관,37.5951497,127.13455,-,"매월 첫째주, 셋째주 금요일 / 신정, 설&middot;추석 당일 전체 휴관 / 법정공휴일 자료실 휴관"
29618,충청남도교육청 서부평생교육원,36.770175,126.4645875,"[평일] 어린이자료실 09:00~18:00, 종합자료실 09:00~21:00, 서평애뜰 09:00~21:00 [토요일] 어린이자료실, 종합자료실, 서평애뜰 09:00~18:00",매주 일요일
2637,양산시립 상북도서관,35.4157099,129.059162,화~일 09:00~18:00,매주 월요일 / 법정공휴일
2638,양산시립 서창도서관,35.4106438,129.1722774,"월~목 09:00~22:00, 토~일 09:00~18:00",매주 금요일 / 법정공휴일
2644,순지작은도서관,35.492362,129.084722,"평일 09:00~18:00, 주말 09:00~18:00",매주 화요일 / 법정공휴일
29900,국채보상운동기념도서관,35.868515,128.60165,07:00-22:00,"매월 둘째주, 넷째주 월요일 / 관공서의 공휴일, 도서관장이 필요하다고 인정하는 때"
29901,대구광역시립서부도서관,35.8722558,128.5576101,자료실 평일 : 09:00 ~ 19:00(어린이열람실 09:00 ~ 18:00)  토·일 : 09:00 ~ 17:00       열람실 : 07:00 ~ 22:00,"매월 둘째주, 넷째주 월요일 / 관공서의 공휴일, 도서관장이 필요하다고 인정하는 때"
29902,대구광역시립두류도서관,35.852632,128.5604,"(평일) 자료실  09:00-19:00 , 어린이실 09:00-18:00  (주말) 자료실  09:00-17:00 , 어린이실 09:00-17:00 (평일,주말) 열람실 07:00-22:00","매월 첫째주, 셋째주 월요일 / 공휴일, 기타 도서관장이 필요하다고 인정하는 때"
29903,대구광역시립달성도서관,35.6985758,128.4475554,"(평일) 일반자료실 09:00-19:00, 어린이자료실 09:00-18:00 (주말) 일반자료실 09:00-17:00, 어린이자료실 09:00-17:00","매월 둘째주, 넷째주 월요일 / 관공서의 공휴일, 도서관장이 필요하다고 인정하는 때"
29904,대구2.28기념학생도서관,35.890772,128.633712,09:00~19:00,"매월 두번째, 네번째 월요일 / 관공서의 공휴일, 특별한 사유 발생으로 도서관장이 지정한 날"
29905,대구광역시립남부도서관,35.8321174,128.5807653,07:00-22:00,"매월 둘째주, 넷째주 월요일 / 관공서의 공휴일, 도서관장이 필요하다고 인정하는 때"
29906,대구광역시립동부도서관,35.8901654,128.6216004,07:00-22:00,"매월 첫째주, 셋째주 월요일 / 관공서의 공휴일, 도서관장이 필요하다고 인정하는 때"
29908,대구광역시립수성도서관,35.8720796,128.6391377,열람실07:00~22:00 / 자료실09:00~22:00(주말17:00),"매월 두번째, 네번째 월요일 / 관공서의 공휴일, 도서관장이 필요하다고 인정하는 때"
